Description,Price,Rating,ReviewCount,Url
iphone6 64GB Original Smartphones Compatible Apple iPhone (Space Grey),"₹17,999",,,https://www.amazon.in/iphone6-Original-Smartphones-Compatible-iPhone/dp/B0C1GBNPP3/ref=sr_1_8?keywords=iphone&qid=1682587628&sprefix=4K%2Caps%2C303&sr=8-8
Apple iPhone 14 (128 GB) - Starlight,"₹71,999",4.5 out of 5 stars,506,https://www.amazon.in/Apple-iPhone-14-128GB-Starlight/dp/B0BDK8LKPJ/ref=sr_1_9?keywords=iphone&qid=1682587628&sprefix=4K%2Caps%2C303&sr=8-9
Apple iPhone 13 Mini (512 GB) - Green,"₹89,999",4.5 out of 5 stars,"1,696",https://www.amazon.in/Apple-iPhone-13-Mini-512/dp/B09V44HD84/ref=sr_1_10?keywords=iphone&qid=1682587628&sprefix=4K%2Caps%2C303&sr=8-10
Apple iPhone 14 (128 GB) - Blue,"₹71,999",4.5 out of 5 stars,506,https://www.amazon.in/Apple-iPhone-14-128GB-Blue/dp/B0BDK62PDX/ref=sr_1_11?keywords=iphone&qid=1682587628&sprefix=4K%2Caps%2C303&sr=8-11
Apple iPhone 12 (256GB) - Purple,"₹74,900",4.5 out of 5 stars,"30,725",https://www.amazon.in/New-Apple-iPhone-12-256GB/dp/B0932RLX4G/ref=sr_1_12?keywords=iphone&qid=1682587628&sprefix=4K%2Caps%2C303&sr=8-12
5s 16GB Original Smartphones Compatible Apple iPhone (Silver),"₹12,499",,,https://www.amazon.in/Original-Smartphones-Compatible-iPhone-Silver/dp/B0C1GD3CWC/ref=sr_1_13?keywords=iphone&qid=1682587628&sprefix=4K%2Caps%2C303&sr=8-13
Apple iPhone 14 Pro (256 GB) - Gold,"₹1,39,900",4.5 out of 5 stars,407,https://www.amazon.in/Apple-iPhone-Pro-256GB-Gold/dp/B0BDJ8WMV7/ref=sr_1_14?keywords=iphone&qid=1682587628&sprefix=4K%2Caps%2C303&sr=8-14
Apple iPhone 14 Pro (256 GB) - Space Black,"₹1,29,999",4.5 out of 5 stars,407,https://www.amazon.in/Apple-iPhone-256GB-Space-Black/dp/B0BDJ52N7F/ref=sr_1_15?keywords=iphone&qid=1682587628&sprefix=4K%2Caps%2C303&sr=8-15
Apple iPhone 14 Pro (512 GB) - Gold,"₹1,49,999",4.5 out of 5 stars,407,https://www.amazon.in/Apple-iPhone-Pro-512GB-Gold/dp/B0BDJF3WKV/ref=sr_1_16?keywords=iphone&qid=1682587628&sprefix=4K%2Caps%2C303&sr=8-16
Apple iPhone 14 Pro Max (256 GB) - Deep Purple,"₹1,49,900",4.5 out of 5 stars,450,https://www.amazon.in/Apple-iPhone-256GB-Deep-Purple/dp/B0BDK2FB2T/ref=sr_1_17?keywords=iphone&qid=1682587628&sprefix=4K%2Caps%2C303&sr=8-17
Apple iPhone SE (64 GB) - Midnight (3rd Generation),"₹49,900",4.3 out of 5 stars,287,https://www.amazon.in/Apple-iPhone-SE-64-Generation/dp/B09V44MF6K/ref=sr_1_18?keywords=iphone&qid=1682587628&sprefix=4K%2Caps%2C303&sr=8-18
